index,Date,value,VOO,VWO,VOO_%_change,VWO_%_change
31,2013-05-01,0.11,116.68375396728516,30.278717041015625,1.4557539955653676,1.834406047518966
32,2013-06-01,0.09,121.11097717285156,29.509511947631836,3.794207038288877,-2.540415078821945
33,2013-07-01,0.09,119.55635833740234,27.542116165161133,-1.2836316506888101,-6.666988549190789
34,2013-08-01,0.08,126.4815444946289,28.19417953491211,5.792403058717177,2.3675136864602653
35,2013-09-01,0.08,121.8216781616211,26.890066146850586,-3.684226304815319,-4.6254702551165705
36,2013-10-01,0.09,126.17442321777344,29.250778198242188,3.5730463755207387,8.779123258750676
37,2013-11-01,0.08,131.1829833984375,29.908262252807617,3.9695526660101565,2.247748932043603
38,2013-12-01,0.09,134.5166473388672,29.08641242980957,2.5412319906648717,-2.7479022888429294
39,2014-01-01,0.07,137.0386505126953,28.52482795715332,1.8748632408855936,-1.9307450652824465
40,2014-02-01,0.07,130.4822235107422,26.347749710083008,-4.784363372978295,-7.632222183216908
41,2014-03-01,0.08,138.53469848632812,27.45424461364746,6.171319555205934,4.199580289549387
42,2014-04-01,0.09,141.66363525390625,29.516830444335938,2.258594274045289,7.512812170629424
43,2014-05-01,0.09,141.7457275390625,29.516830444335938,0.05794873540347911,0.0
44,2014-06-01,0.1,145.18679809570312,30.561485290527344,2.4276361738609253,3.5391836808544186
45,2014-07-01,0.09,149.05784606933594,31.658823013305664,2.6662534227672063,3.590590288222817
46,2014-08-01,0.09,145.6261444091797,31.99344825744629,-2.302261672666295,1.0569731035168006
47,2014-09-01,0.09,151.73895263671875,33.0919075012207,4.197603563796437,3.4333880953852924
48,2014-10-01,0.09,147.72024536132812,30.071781158447266,-2.6484348320314877,-9.126480069672716
49,2014-11-01,0.09,153.3730926513672,31.130287170410156,3.826724817720173,3.519931215200245
50,2014-12-01,0.12,156.43167114257812,30.431968688964844,1.9942080050269428,-2.243212462585553
51,2015-01-01,0.11,156.1581268310547,29.20754051208496,-0.17486504460731966,-4.0234931541707315
52,2015-02-01,0.11,153.41455078125,30.012306213378906,-1.7569217212581756,2.755335393478142
53,2015-03-01,0.11,161.18934631347656,30.81707191467285,5.067834499813806,2.6814523868052387
54,2015-04-01,0.12,157.11314392089844,30.63385009765625,-2.52882866380687,-0.5945464823001734
55,2015-05-01,0.12,160.87039184570312,32.66032791137695,2.3914281332797716,6.61515874518086
56,2015-06-01,0.13,161.57020568847656,31.29207992553711,0.4350171804421654,-4.189327154193167
57,2015-07-01,0.13,159.25376892089844,30.51478385925293,-1.4337029266673351,-2.4840025595417092
58,2015-08-01,0.14,160.99472045898438,28.13361930847168,1.0931933039215247,-7.803314490983082
